image_id,path,cls,field,arxiv_id,source,split
1,/Volumes/One Touch/stem_diagrams_data/images_v2/semiconductor_engineering/2607.13121v1_p002_01.jpeg,diagram,semiconductor_engineering,2607.13121v1,accepted,train
2,/Volumes/One Touch/stem_diagrams_data/images_v2/semiconductor_engineering/2607.13121v1_p004_01.jpeg,diagram,semiconductor_engineering,2607.13121v1,accepted,train
3,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/semiconductor_engineering/2607.13121v1_p004_02.jpeg,fragment_junk,semiconductor_engineering,2607.13121v1,llm,train
4,/Volumes/One Touch/stem_diagrams_data/images_v2/aerospace_engineering/2607.13312v1_p004_01.jpeg,diagram,aerospace_engineering,2607.13312v1,accepted,train
6,/Volumes/One Touch/stem_diagrams_data/images_v2/aerospace_engineering/2607.13312v1_p008_01.jpeg,diagram,aerospace_engineering,2607.13312v1,accepted,train
7,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/aerospace_engineering/2607.13312v1_p011_01.jpeg,fragment_junk,aerospace_engineering,2607.13312v1,llm,train
10,/Volumes/One Touch/stem_diagrams_data/images_v2/aerospace_engineering/2607.13312v1_p014_01.jpeg,diagram,aerospace_engineering,2607.13312v1,accepted,train
11,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/aerospace_engineering/2607.13312v1_p018_01.jpeg,data_plot,aerospace_engineering,2607.13312v1,llm,train
14,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/semiconductor_engineering/2607.13397v1_p015_03.jpeg,data_plot,semiconductor_engineering,2607.13397v1,llm,test
20,/Volumes/One Touch/stem_diagrams_data/images_v2/utilities_power_systems/2607.11060v1_p004_01.jpeg,diagram,utilities_power_systems,2607.11060v1,accepted,train
21,/Volumes/One Touch/stem_diagrams_data/images_v2/utilities_power_systems/2607.11060v1_p005_01.jpeg,diagram,utilities_power_systems,2607.11060v1,accepted,train
22,/Volumes/One Touch/stem_diagrams_data/images_v2/utilities_power_systems/2607.11060v1_p005_02.jpeg,diagram,utilities_power_systems,2607.11060v1,accepted,train
23,/Volumes/One Touch/stem_diagrams_data/images_v2/utilities_power_systems/2607.11060v1_p005_03.jpeg,diagram,utilities_power_systems,2607.11060v1,accepted,train
24,/Volumes/One Touch/stem_diagrams_data/images_v2/utilities_power_systems/2607.11060v1_p006_01.jpeg,diagram,utilities_power_systems,2607.11060v1,accepted,train
25,/Volumes/One Touch/stem_diagrams_data/images_v2/utilities_power_systems/2607.11060v1_p006_02.jpeg,diagram,utilities_power_systems,2607.11060v1,accepted,train
26,/Volumes/One Touch/stem_diagrams_data/images_v2/utilities_power_systems/2607.11060v1_p008_01.jpeg,diagram,utilities_power_systems,2607.11060v1,accepted,train
27,/Volumes/One Touch/stem_diagrams_data/images_v2/utilities_power_systems/2607.11060v1_p009_01.jpeg,diagram,utilities_power_systems,2607.11060v1,accepted,train
29,/Volumes/One Touch/stem_diagrams_data/images_v2/utilities_power_systems/2607.11060v1_p015_01.jpeg,diagram,utilities_power_systems,2607.11060v1,accepted,train
